,,COUNTRY,DOB,HT/WT,NICKNAME,REACH,STANCE,TEAM,WEIGHT,WT CLASS
johny-hendricks,,USA,9/12/1983 (36),"5' 9"", 185 lbs",Bigg Rigg,"69""",Southpaw,Team Takedown,,Welterweight
ricardo-funch,,Brazil,8/14/1980 (39),"5' 10"", 170 lbs",Golden Boy,"74""",Southpaw,Team Link,,Welterweight
lucio-linhares,,Brazil,12/8/1973,,,,Orthodox,,,Middleweight
edgar-garcia,,USA,2/22/1984 (35),"5' 10"", 170 lbs",,"71""",Orthodox,,,Welterweight
damarques-johnson,,USA,6/28/1982,,Darkness,"75""",Orthodox,Elite Performance,,Welterweight
tj-grant,,Canada,2/26/1984,,,"72.5""",Orthodox,Fit Plus,,Lightweight
mark-coleman,,USA,12/20/1964,,The Hammer,"75""",Orthodox,,,Open Weight
denis-kang,,,,,,,,,,
john-hathaway,,England,7/1/1987,,The Hitman,"75.5""",Orthodox,London Shootfighters,,Welterweight
tom-egan,,,,,The Tank,,Orthodox,,,Welterweight
alexandre-barros,,Brazil,,,Baixinho,,Southpaw,,,Welterweight
ivan-serati,,,,,Il Terrible,,Orthodox,,,Light Heavyweight
john-howard,,USA,3/1/1983 (36),"5' 7"", 170 lbs",Doomsday,"71""",Orthodox,FAF Kickboxing,,Welterweight
dan-cramer,,USA,10/31/1985,,,,Orthodox,American Top Team,,Welterweight
denis-stojnic,,Bosnia & Herzegovina,2/2/1980 (39),"5' 11"", 245 lbs",The Menace,,Orthodox,,,
jake-rosholt,,USA,2/9/1982,,,,Orthodox,Team Takedown,,Middleweight
matt-veach,,USA,,,,,Orthodox,,,
nick-catone,,USA,9/1/1981,,The Jersey Devil,"72.5""",Southpaw,Ricardo Almeida Jiu-Jitsu,,Middleweight
derek-downey,,USA,4/27/1980,,The Gentleman,,Orthodox,,,Welterweight
paulo-thiago,,Brazil,1/25/1981 (38),"5' 11"", 185 lbs",,"74.5""",Orthodox,X-Gym,,Welterweight
brian-cobb,,USA,9/3/1980 (39),"5' 11"", 155 lbs",The Bandit,,Orthodox,,,
evan-dunham,,USA,12/18/1981 (37),"5' 10"", 155 lbs",,"70""",Southpaw,Xtreme Couture,,Lightweight
neil-grove,,England,1/18/1971 (48),"6' 6"", 262 lbs",Goliath,,Orthodox,,,Heavyweight
mike-ciesnolevicz,,USA,10/28/1979,,,,Orthodox,,,Light Heavyweight
mark-munoz,,USA,2/9/1978,,The Filipino Wrecking Machine,"72""",Orthodox,Reign MMA,,Middleweight
ryan-madigan,,,4/2/1977,,The Lion,,Orthodox,,,Welterweight
carlos-condit,,USA,4/26/1984 (35),"6' 2"", 170 lbs",The Natural Born Killer,"75.5""",Orthodox,Jackson-Wink MMA,,Welterweight
jesse-sanders,,,,,,,Orthodox,,,Welterweight
nissen-osterneck,,USA,,,,,Orthodox,,,Middleweight
tim-mckenzie,,,,,Wrecking Machine,"74""",Orthodox,,,
aaron-simpson,,USA,7/20/1974,,A-Train,"73""",Orthodox,Power MMA Team,,Welterweight
brian-stann,,USA,9/24/1980,,All American,"74""",Orthodox,Jackson-Wink MMA,,Light Heavyweight
xavier-foupa-pokam,,,3/7/1982,,Professor X,,Open Stance,,,Middleweight
mike-pyle,,,,,,,,,,
tim-hague,,Canada,5/9/1983 (36),"6' 4"", 260 lbs",The Thrashing Machine,"76""",Orthodox,Complete Martial Arts and Fitness,,
caol-uno,,,,,,,,,,
peter-sobotta,,Germany,1/11/1987 (32),"6' 0"", 185 lbs",,"75""",Southpaw,Planet Eater,,Welterweight
rick-story,,,,,,,,,,
james-wilks,,England,4/5/1978,,Lightning,"75""",Orthodox,Lightning MMA,,Welterweight
ross-pearson,,England,9/26/1984 (35),"5' 8"", 155 lbs",The Real Deal,"69""",Orthodox,Alliance MMA,,Lightweight
andre-winner,,England,11/9/1981 (37),"5' 11"", 155 lbs",,"73""",Orthodox,Team Rough House,,Lightweight
frank-lester,,USA,6/10/1984,,,,Orthodox,,,Welterweight
nick-osipczak,,England,12/30/1984,,Slick,"76""",Orthodox,,,Welterweight
cameron-dollar,,USA,5/12/1987,,The Money Man,,Orthodox,Colorado Fight Factory,,
yoshihiro-akiyama,,Japan,7/29/1975 (44),"5' 10"", 170 lbs",Sexyama,"73.5""",Orthodox,Jackson-Wink MMA,,Welterweight
jesse-lennox,,,,,,"72""",Orthodox,,,
danillo-villefort,,Brazil,5/8/1983 (36),"6' 1"", 185 lbs",Indio,,Orthodox,Blackzilians,,
chris-tuchscherer,,,9/8/1975,,The Crowbar,"76""",Orthodox,,,Heavyweight
mike-russow,,,11/9/1976,,,"73""",Orthodox,Team DeathClutch,,Heavyweight
todd-duffee,,USA,12/6/1985 (33),"6' 3"", 244 lbs",,"78""",Orthodox,Xtreme Couture,,Heavyweight
jake-ellenberger,,USA,3/28/1985 (34),"5' 10"", 170 lbs",The Juggernaut,"71.5""",Orthodox,Reign MMA,,Welterweight
jay-silva,,USA,5/25/1981 (38),"6' 2"", 225 lbs",,,Southpaw,,,
steve-steinbeiss,,,,,The Hooligan,"75""",Orthodox,,,Light Heavyweight
vitor-belfort,,Brazil,4/1/1977 (42),"6' 0"", 185 lbs",The Phenom,"74""",Southpaw,Blackzilians,,Middleweight
paul-daley,,England,2/21/1983 (36),"5' 9"", 170 lbs",Semtex,"76""",Orthodox,Team Rough House,,Welterweight
frank-trigg,,USA,5/7/1972,,Twinkle Toes,"71""",Southpaw,Xtreme Couture,,Welterweight
steve-lopez,,USA,7/30/1984,,,,Orthodox,,,
nik-lentz,,USA,8/13/1984 (35),"5' 8"", 155 lbs",The Carny,"68""",Orthodox,American Top Team,,Lightweight
rafaello-oliveira,,Brazil,1/26/1982,,Tractor,"71.5""",Orthodox,Knoxville Martial Arts Academy,,
brian-foster,,USA,4/4/1984 (35),"5' 9"", 155 lbs",,"71""",Orthodox,Fiore MMA,,Welterweight
igor-pokrajac,,Croatia,1/2/1979 (40),"6' 0"", 205 lbs",The Duke,"76""",Orthodox,American Top Team,,Light Heavyweight
vladimir-matyushenko,,Belarus,1/4/1971,,The Janitor,"74""",Orthodox,VMAT,,Light Heavyweight
ben-rothwell,,USA,10/17/1981 (38),"6' 4"", 265 lbs",,"78.5""",Orthodox,Rothwell MMA,,Heavyweight
chase-gormley,,USA,8/11/1983 (36),"6' 3"", 265 lbs",,,Orthodox,Reign MMA,,
alexander-gustafsson,,Sweden,1/15/1987 (32),"6' 5"", 205 lbs",The Mauler,"79""",Orthodox,Allstars Training Center,,Light Heavyweight
jared-hamman,,USA,3/7/1982,,The Messenger,"75""",Orthodox,Dynamix MMA,,Light Heavyweight
jacob-volkmann,,,,,,,,,,
rogerio-nogueira,,Brazil,6/2/1976 (43),"6' 2"", 205 lbs",Minotouro,"75""",Southpaw,Team Nogueira,,Light Heavyweight
phil-baroni,,USA,4/16/1976,,New York Bad Ass,"72""",Orthodox,AKA (American Kickboxing Academy),,Middleweight
fabricio-camoes,,Brazil,12/23/1978,,Morango,"71.5""",Orthodox,Black House MMA,,Middleweight
brendan-schaub,,USA,3/18/1983,,Big Brown,"78""",Orthodox,Reign MMA,,Heavyweight
roy-nelson,,USA,6/20/1976 (43),"6' 0"", 265 lbs",Big Country,"72""",Orthodox,Country Club,,Heavyweight
kevin-ferguson,,USA,2/8/1974 (45),"6' 2"", 225 lbs",Kimbo Slice,"77""",Orthodox,American Top Team,,Heavyweight
marcus-jones,,,,,Big Baby,,Orthodox,,,Heavyweight
matt-mitrione,,USA,7/15/1978 (41),"6' 3"", 255 lbs",Meathead,"79""",Switch,Integrated Fighting Academy,,Heavyweight
james-mcsweeney,,England,10/24/1980 (38),"6' 4"", 250 lbs",,"77""",Switch,Tiger Muay Thai,,
darrill-schoonover,,USA,6/18/1985 (34),"6' 2"", 247 lbs",The Boss,,Orthodox,,,
jon-madsen,,USA,2/12/1980,,,"72""",Orthodox,,,Heavyweight
justin-wren,,USA,4/27/1987 (32),"6' 3"", 265 lbs",,,Orthodox,,,
rodney-wallace,,USA,11/21/1981 (37),"5' 9"", 205 lbs",Sho Nuff the Master,"72""",Switch,Chute Boxe,,Light Heavyweight
dennis-hallman,,USA,12/2/1975 (43),"5' 9"", 170 lbs",Superman,"72""",Orthodox,Victory MMA,,Lightweight
joe-brammer,,,8/30/1983,,The South Side Strangler,,Orthodox,,,Lightweight
gilbert-yvel,,Netherlands,6/30/1976,,The Hurricane,"77""",Orthodox,,,Heavyweight
john-gunderson,,,,,,,,,,
mike-guymon,,,9/17/1974,,The Joker,"74""",Orthodox,,,Welterweight
rory-macdonald,,Canada,7/22/1989 (30),"5' 11"", 170 lbs",Red King,"76""",Orthodox,TriStar Gym,,Welterweight
gerald-harris,,,,,,,,,,
john-salter,,USA,3/21/1985 (34),"6' 1"", 185 lbs",,"74""",Southpaw,,,Middleweight
ronys-torres,,Brazil,8/13/1985 (34),"5' 8"", 155 lbs",Jungle Boy,,Orthodox,Nova Uniao,,
phil-davis,,USA,9/25/1984 (35),"6' 2"", 205 lbs",Mr. Wonderful,"79""",Orthodox,Alliance MMA,,Light Heavyweight
rolles-gracie,,Brazil,7/14/1978,,,,Orthodox,Renzo Gracie Jiu-Jitsu,,
joey-beltran,,,,,,,,,,
james-te-huna,,New Zealand,9/29/1981 (38),"6' 2"", 185 lbs",,"75""",Orthodox,Pirtek Athletic Allstars,,Middleweight
darren-elkins,,USA,5/16/1984 (35),"5' 10"", 145 lbs",The Damage,"71""",Orthodox,Team Alpha Male,,Featherweight
daniel-roberts,,USA,1/1/1980,,Ninja,"74""",Southpaw,,,Welterweight
julio-paulino,,,,,,,Orthodox,,,
greg-soto,,USA,6/3/1986,,,"73""",Orthodox,Pellegrino MMA,,Welterweight
takanori-gomi,,Japan,9/22/1978 (41),"5' 8"", 155 lbs",The Fireball Kid,"70""",Southpaw,Kugayama Rascal,,Lightweight
mario-miranda,,Brazil,9/21/1978,,,"74""",Orthodox,Black House MMA,,Middleweight
jason-high,,USA,10/12/1981 (38),"5' 8"", 155 lbs",The Kansas City Bandit,"73""",Southpaw,American Top Team,,
charlie-brenneman,,USA,2/9/1981,,The Spaniard,"70""",Orthodox,AMA Fight Club,,Welterweight
renzo-gracie,,Brazil,3/11/1967 (52),"5' 10"", 170 lbs",,,Orthodox,Renzo Gracie Jiu-Jitsu,,Middleweight
waylon-lowe,,USA,10/31/1981 (37),"5' 7"", 155 lbs",,,Southpaw,American Top Team,,Lightweight
cyrille-diabate,,France,6/10/1973,,Snake,"81""",Southpaw,Snake Team,,Light Heavyweight
claude-patrick,,Canada,6/14/1980,,The Prince,"75""",Orthodox,Elite Mixed Fighters,,Welterweight
court-mcgee,,USA,12/12/1984 (34),"5' 11"", 170 lbs",The Crusher,"75.5""",Orthodox,FactoryX Muay Thai,,Welterweight
kris-mccray,,USA,9/24/1981,,Savage,"76""",Orthodox,,,Middleweight
rich-attonito,,USA,6/16/1977,,The Raging Bull,"72""",Orthodox,American Top Team,,Middleweight
jamie-yager,,USA,11/29/1983 (35),"6' 2"", 170 lbs",The Chosyn 1,,Orthodox,,,Middleweight
mark-holst,,,,,,,Orthodox,,,Lightweight
seth-baczynski,,USA,10/26/1981 (37),"6' 3"", 185 lbs",Polish Pistola,"74""",Orthodox,Power MMA Team,,Welterweight
brad-tavares,,USA,12/21/1987 (31),"6' 1"", 185 lbs",,"74""",Orthodox,Xtreme Couture,,Middleweight
josh-bryant,,,,,The Beast,,Orthodox,,,Middleweight
kyle-noke,,Australia,3/18/1980 (39),"6' 2"", 170 lbs",,"76""",Southpaw,Integrated MMA,,Welterweight
james-hammortree,,,,,,,Orthodox,,,
chris-camozzi,,USA,11/20/1986 (32),"6' 3"", 205 lbs",,"76.5""",Orthodox,FactoryX Muay Thai,,Middleweight
travis-browne,,USA,7/17/1982 (37),"6' 7"", 255 lbs",Hapa,"79""",Orthodox,Glendale Fighting Club,,Heavyweight
ricardo-romero,,USA,4/15/1978,,,"76""",Orthodox,AMA Fight Club,,Light Heavyweight
david-branch,,USA,9/26/1981 (38),"6' 1"", 185 lbs",,"78""",Orthodox,Renzo Gracie Jiu-Jitsu,,Middleweight
karlos-vemola,,Czech Republic,7/1/1985,,The Terminator,"75""",Orthodox,London Shootfighters,,Light Heavyweight
charles-oliveira,,Brazil,10/17/1989 (30),"5' 10"", 155 lbs",do Bronx,"74""",Orthodox,Chute Boxe,,Lightweight
todd-brown,,USA,,,Bulldog,,Orthodox,,,Light Heavyweight
christian-morecraft,,,,,,,,,,
james-toney,,,8/24/1968,,Lights Out,,Orthodox,,,Heavyweight
amilcar-alves,,,,,,,Southpaw,,171 lbs,Welterweight
rafael-natal,,Brazil,12/25/1982 (36),"6' 0"", 185 lbs",Sapo,"76""",Orthodox,Renzo Gracie Jiu-Jitsu,,Middleweight
david-mitchell,,USA,10/24/1979 (39),"6' 0"", 185 lbs",Daudi,"75.5""",Orthodox,Team Alpha Male,,Welterweight
tj-waldburger,,USA,4/25/1988,,The Modern Day Warrior,"75""",Orthodox,Grapplers Lair Fight Team,,Lightweight
pat-audinwood,,USA,4/16/1986,,,,Orthodox,Team BombSquad,,
mark-hunt,,New Zealand,3/23/1974 (45),"5' 10"", 265 lbs",Super Samoan,"72""",Orthodox,American Top Team,,Heavyweight
sean-mccorkle,,USA,9/15/1976,,Big Sexy,"81""",Orthodox,,,Heavyweight
rob-broughton,,England,3/3/1983,,The Bear,"74""",,Wolfslair Academy,,Heavyweight
vinicius-queiroz,,Brazil,,"6' 7"", 240 lbs",,,,,,
paul-sass,,England,8/4/1988,,Sassangle,"73""",Orthodox,Team Kaobon,,
curt-warburton,,England,,,The War,"73""",Orthodox,Nevt,,Lightweight
fabio-maldonado,,Brazil,3/17/1980 (39),"6' 1"", 225 lbs",Caipira de Aco,"75""",Orthodox,Team Nogueira,,Light Heavyweight
jake-shields,,USA,1/9/1979 (40),"6' 0"", 170 lbs",,"72""",Orthodox,Cesar Gracie Jiu-Jitsu,,Middleweight
dongi-yang,,South Korea,12/7/1984 (34),"5' 11"", 185 lbs",The Ox,"71""",Southpaw,Korean Top Team,,Middleweight
alexandre-ferreira,,Brazil,4/25/1979,,Cacareco,,Orthodox,Chute Boxe,,Light Heavyweight
pascal-krauss,,Germany,4/19/1987,,Panzer,"72""",Orthodox,Roufusport,,Welterweight
mark-scanlon,,England,,,,,Orthodox,Team Kaobon,,
carlos-eduardo-rocha,,Brazil,7/12/1981,,Ta Danado,"70""",Orthodox,Team Nogueira,,Welterweight
maiquel-falcao,,Brazil,3/8/1981 (38),"5' 11"", 185 lbs",Big Rig,,Orthodox,Independent MMA,,Light Heavyweight
edson-barboza,,Brazil,1/21/1986 (33),"5' 11"", 155 lbs",Junior,"75""",Orthodox,American Top Team,,Lightweight
mike-lullo,,USA,7/24/1979,,,,Orthodox,,,Lightweight
tj-obrien,,,,,,,,,,
michael-johnson,,USA,6/4/1986 (33),"5' 10"", 155 lbs",The Menace,"73.5""",Southpaw,Hard Knocks 365,,Featherweight
jonathan-brookins,,USA,8/13/1985 (34),"6' 0"", 135 lbs",,"74""",Southpaw,Gracie Barra Orlando,,Lightweight
nam-phan,,USA,3/13/1983 (36),"5' 6"", 145 lbs",,"70""",Orthodox,Ma Du Academy,,Bantamweight
cody-mckenzie,,USA,12/16/1987 (31),"6' 0"", 170 lbs",AK Kid,"72""",Switch,Cesar Gracie Jiu-Jitsu,,Lightweight
aaron-wilkinson,,,,,,,,,,
ian-loveland,,,,,,,,,,
tyler-toner,,,,,,"70.5""",Orthodox,Elevation Fight Team,,Bantamweight
sako-chivitchian,,,,,,,,,,Lightweight
kyle-watson,,USA,8/9/1979,,,,,,,Lightweight
will-campuzano,,USA,5/27/1986,,,"70""",Orthodox,Mohler MMA,,Flyweight
nick-pace,,USA,4/17/1987 (32),"5' 7"", 135 lbs",,"68""",Orthodox,,,Bantamweight
pablo-garza,,USA,9/16/1983,,The Scarecrow,"73""",Orthodox,Academy of Combat Arts,,Featherweight
fredson-paixao,,,,,,"66""",Orthodox,,,Bantamweight
jesse-bongfeldt,,Canada,,,Water,,Orthodox,,,Middleweight
sean-pierson,,Canada,3/10/1976,,The Punisher,"76""",Southpaw,Grant Brothers MMA,,Welterweight
john-makdessi,,Canada,5/3/1985 (34),"5' 8"", 155 lbs",The Bull,"68""",Orthodox,Roufusport,,Lightweight
josh-grispi,,USA,10/14/1988,,The Fluke,"74""",Orthodox,South Shore Sport,,Featherweight
dustin-poirier,,USA,1/19/1989 (30),"5' 9"", 155 lbs",The Diamond,"72""",Southpaw,American Top Team,,Lightweight
mike-brown,,,,,,"70""",Orthodox,,,Lightweight
diego-nunes,,,,,,,,,,
antonio-mckee,,USA,3/12/1970 (49),"5' 8"", 155 lbs",Mandingo,,Southpaw,,,
rani-yahya,,Brazil,9/12/1984 (35),"5' 6"", 135 lbs",,"67""",Orthodox,Constrictor Team,,Bantamweight
willamy-freire,,,,,Chiquerim,,,,,
chris-cariaso,,USA,5/27/1981,,Kamikaze,"63.5""",Southpaw,Fight and Fitness,,Flyweight
antonio-banuelos,,USA,9/23/1979,,,"63""",Orthodox,,,Bantamweight
miguel-torres,,USA,1/18/1981 (38),"5' 9"", 145 lbs",,"76""",Orthodox,TriStar Gym,,Bantamweight
donald-cerrone,,USA,3/29/1983 (36),"6' 1"", 155 lbs",Cowboy,"73""",Orthodox,BMF Ranch,,Lightweight
chad-mendes,,USA,5/1/1985 (34),"5' 6"", 145 lbs",Money,"66""",Orthodox,Team Alpha Male,,Featherweight
demetrious-johnson,,USA,8/13/1986 (33),"5' 3"", 125 lbs",Mighty Mouse,"66""",Orthodox,AMC Pankration,,Flyweight
norifumi-yamamoto,,Japan,3/15/1977,,Kid,"66""",Southpaw,Krazy Bee,,Bantamweight
kenny-robertson,,USA,2/14/1984 (35),"5' 10"", 170 lbs",,"74""",Orthodox,,,Welterweight
brian-ebersole,,,,,,,,,,
riki-fukuda,,Japan,1/6/1981 (38),"6' 0"", 185 lbs",,"73""",Southpaw,Grabaka,,Middleweight
nick-ring,,Canada,2/10/1979,,The Promise,"74""",Southpaw,Champion's Creed MMA,,Middleweight
tom-blackledge,,England,,,,,,,,Light Heavyweight
tiequan-zhang,,China,7/25/1978,,The Wolf,"70""",Orthodox,China Top Team,,Lightweight
maciej-jewtuszko,,Poland,1/31/1981 (38),"6' 0"", 170 lbs",Irokez,,Southpaw,,,Lightweight
chris-weidman,,USA,6/17/1984 (35),"6' 2"", 205 lbs",The All-American,"78""",Orthodox,Serra-Longo Fight Team,,Middleweight
brian-bowles,,USA,6/22/1980,,,"70.5""",Orthodox,American Top Team,,Bantamweight
damacio-page,,USA,9/30/1982 (37),"5' 6"", 125 lbs",The Angel of Death,"66""",Orthodox,Jackson-Wink MMA,,Bantamweight
danny-castillo,,USA,8/25/1979 (40),"5' 9"", 155 lbs",Last Call,"71""",Orthodox,Team Alpha Male,,Lightweight
shane-roller,,USA,7/14/1979,,,"72""",Orthodox,,,Lightweight
reuben-duran,,USA,7/2/1983,,,"71""",Orthodox,Alliance MMA,,Bantamweight
takeya-mizugaki,,Japan,12/16/1983 (35),"5' 7"", 135 lbs",,"68.5""",Orthodox,,,Bantamweight
urijah-faber,,USA,5/14/1979 (40),"5' 6"", 135 lbs",The California Kid,"67""",Orthodox,Team Alpha Male,,Bantamweight
eddie-wineland,,USA,6/26/1984 (35),"5' 7"", 135 lbs",,"69""",Orthodox,Duneland Vale Tudo,,Bantamweight
kamal-shalorus,,Iran,8/27/1972 (47),"5' 8"", 155 lbs",Prince of Persia,"68""",Orthodox,American Combat Association,,Lightweight
anthony-njokuani,,USA,3/1/1980 (39),"6' 0"", 155 lbs",The Assassin,"75.5""",Orthodox,Janjira Muay Thai,,Lightweight
joseph-benavidez,,USA,7/31/1984 (35),"5' 4"", 125 lbs",,"65""",Southpaw,Team Alpha Male,,Flyweight
constantinos-philippou,,USA,11/29/1979,,Costa,"73""",Orthodox,Serra-Longo Fight Team,,Middleweight
raphael-assuncao,,Brazil,7/19/1982 (37),"5' 5"", 135 lbs",,"66.5""",Orthodox,American Top Team,,Bantamweight
erik-koch,,USA,10/4/1988 (31),"5' 10"", 170 lbs",Phoenix,"71.5""",Southpaw,Roufusport,,Lightweight
chan-sung-jung,,Korea,3/17/1987 (32),"5' 7"", 145 lbs",The Korean Zombie,"72""",Orthodox,Korean Zombie MMA,,Featherweight
alex-caceres,,USA,6/20/1988 (31),"5' 10"", 145 lbs",Bruce Leeroy,"73.5""",Southpaw,MMA LAB,,Featherweight
mackens-semerzier,,USA,11/3/1980,,Mack da Menace,"72""",Orthodox,,,Featherweight
edwin-figueroa,,USA,7/31/1984 (35),"5' 7"", 135 lbs",El Feroz,"69""",Orthodox,Mohler MMA,,Bantamweight
michael-mcdonald,,USA,1/15/1991 (28),"5' 9"", 135 lbs",Mayday,"70""",Orthodox,Last Stand Fight Team,,Bantamweight
jose-aldo,,Brazil,9/9/1986 (33),"5' 7"", 145 lbs",Junior,"70""",Orthodox,Nova Uniao,,Featherweight
benson-henderson,,USA,11/16/1983 (35),"5' 9"", 155 lbs",Smooth,"70""",Southpaw,MMA LAB,,Welterweight
ivan-menjivar,,EL SALVADOR,5/30/1982,,Pride of El Salvador,"64""",Orthodox,TriStar Gym,,Lightweight
charlie-valencia,,USA,,,,"64.5""",Orthodox,,,Bantamweight
yves-jabouin,,Canada,5/30/1979,,Tiger,"68""",Orthodox,TriStar Gym,,Bantamweight
renan-barao,,Brazil,1/31/1987 (32),"5' 6"", 135 lbs",The Baron,"70""",Orthodox,Nova Uniao,,Bantamweight
cole-escovedo,,USA,8/30/1981,,The Apache Kid,"72""",Orthodox,,,Featherweight
tony-ferguson,,USA,2/12/1984 (35),"5' 11"", 155 lbs",El Cucuy,"76.5""",Orthodox,Reign MMA,,Lightweight
ramsey-nijem,,USA,4/1/1988 (31),"6' 1"", 155 lbs",,"75""",Orthodox,Temple MMA,,Lightweight
anthony-pettis,,USA,1/27/1987 (32),"5' 10"", 170 lbs",Showtime,"72.5""",Orthodox,Roufusport,,Welterweight
chris-cope,,USA,3/5/1983,,C-Murder,"72""",Orthodox,,,
chuck-oneil,,USA,9/22/1985 (34),"6' 2"", 185 lbs",,,,,,
danny-downes,,USA,4/8/1986,,Danny Boy,"72""",Orthodox,,,Lightweight
shamar-bailey,,USA,9/22/1982,,,"75""",,Integrated Fighting Academy,,Lightweight
ryan-mcgillivray,,Canada,,,The Kid,,,Jackson-Wink MMA,,Welterweight
clay-harvison,,USA,9/25/1980,,Heavy Metal,"74""",,American Top Team Atlanta,,Welterweight
justin-edwards,,USA,1/26/1983 (36),"5' 10"", 155 lbs",Fast Eddy,"70""",Orthodox,Team Jorge Gurgel,,Welterweight
scott-jorgensen,,USA,9/17/1982 (37),"5' 4"", 135 lbs",Young Guns,"66""",Orthodox,Twisted Genetiks,,Bantamweight
ken-stone,,USA,10/8/1982,,,"71""",,American Top Team,,Bantamweight
francisco-rivera,,USA,10/8/1981 (38),"5' 9"", 135 lbs",Cisco,"68""",Orthodox,United Mixed Martial Arts,,Bantamweight
dave-herman,,,,,,,,,,
john-olav-einemo,,Norway,12/10/1975,,The Viking,,Orthodox,,,Heavyweight
vagner-rocha,,USA,6/6/1982,,Ceara,"73""",Orthodox,,,Welterweight
james-head,,USA,2/9/1984,,,"73""",Orthodox,Lovato's Brazilian Jiu-Jitsu,,Middleweight
jason-young,,England,6/28/1986,,Shotgun,"73""",Orthodox,Team Titan,,Featherweight
aaron-rosa,,USA,5/28/1983,,,"77""",Orthodox,Rodrigo Pinheiro BJJ,,Light Heavyweight
javier-vazquez,,USA,7/16/1977,,Showtime,"69""",Southpaw,Gracie Jiu-Jitsu,,Featherweight
ricardo-lamas,,USA,5/21/1982 (37),"5' 8"", 145 lbs",The Bully,"71""",Orthodox,Top Notch Fitness,,Featherweight
edward-faaloloto,,USA,,,Falo,"70""",,,,Lightweight
dominick-cruz,,USA,3/9/1985 (34),"5' 8"", 135 lbs",The Dominator,"68""",Orthodox,Alliance MMA,,Bantamweight
jeff-hougland,,USA,,,Hellbound,"68""",Orthodox,Combat Sport and Fitness,,Bantamweight
donny-walker,,USA,1/4/1980,,,,,,,
paul-bradley,,,,,,,,,,
ronny-markes,,Brazil,4/21/1988 (31),"6' 1"", 205 lbs",,"75""",Orthodox,Nova Uniao,,Middleweight
jimy-hettes,,USA,6/9/1987,,The Kid,"71""",Southpaw,Gracie NEPA,,Featherweight
erick-silva,,Brazil,6/21/1984 (35),"6' 0"", 170 lbs",The Tiger,"74""",Orthodox,Team Nogueira,,Welterweight
luis-ramos,,Brazil,1/18/1981,,Beicao,,Orthodox,Nova Uniao,,
stanislav-nedkov,,Bulgaria,9/12/1981,,Stucky,"71""",Orthodox,Bushido Bulgaria,,Light Heavyweight
johnny-eduardo,,Brazil,8/3/1978 (41),"5' 7"", 135 lbs",,"71""",Orthodox,Nova Uniao,,Bantamweight
iuri-alcantara,,Brazil,8/4/1980 (39),"5' 9"", 135 lbs",Marajo,"71""",Southpaw,Marajo Brothers Team,,Bantamweight
felipe-arantes,,Brazil,2/9/1988 (31),"5' 8"", 135 lbs",Sertanejo,"73""",Orthodox,Bronx's Gold Team,,
lance-benoist,,USA,8/26/1988,,,"73""",Southpaw,St. Charles MMA,,Welterweight
mike-stumpf,,USA,7/23/1983,,,"71""",,Team Curran,,Welterweight
robert-peralta,,USA,,"5' 8"", 145 lbs",Problems,"71""",Orthodox,Team Xplode MMA,,
jorge-lopez,,USA,11/21/1988 (30),"5' 10"", 170 lbs",Lil' Monster,,Orthodox,Wand Fight Team,,
eddie-yagin,,USA,3/23/1979,,The Filipino Phenom,,Orthodox,Alliance MMA,,Featherweight
byron-bloodworth,,USA,8/16/1983,,,"69""",Orthodox,Iron Clutch Fitness,,Bantamweight
mike-easton,,USA,1/25/1984,,The Hulk,"70""",Southpaw,Alliance MMA,,Bantamweight
keith-wisniewski,,,,,,,,,,
joseph-sandoval,,,,,,,,,,
walel-watson,,USA,7/16/1984 (35),"5' 11"", 135 lbs",The Gazelle,"69""",Orthodox,Team Hurricane Awesome,,Bantamweight
stipe-miocic,,USA,8/19/1982 (37),"6' 4"", 230 lbs",,"80""",Orthodox,Strong Style Fight Team,,Heavyweight
jeff-curran,,USA,9/2/1977 (42),"5' 6"", 135 lbs",The Big Frog,"69""",Orthodox,Team Curran,,
hatsu-hioki,,Japan,7/18/1983 (36),"5' 11"", 145 lbs",,"73""",Orthodox,ALIVE Shooto & Jiu-Jitsu Academy,,Featherweight
bart-palaszewski,,USA,5/30/1983,,Bartimus,"70""",Orthodox,,,Featherweight
francis-carmont,,France,11/10/1981 (37),"6' 3"", 205 lbs",Limitless,"78""",Orthodox,TriStar Gym,,Middleweight
dustin-jacoby,,USA,4/4/1988,,,"78""",Orthodox,Finney's HIT Squad,,Middleweight
clifford-starks,,USA,4/25/1981 (38),"5' 10"", 185 lbs",,"77""",Orthodox,Arizona Combat Sports,,Middleweight
brad-pickett,,England,9/24/1978 (41),"5' 6"", 135 lbs",One Punch,"68""",Orthodox,Team Titan,,Bantamweight
papy-abedi,,Sweden,6/30/1978 (41),"5' 11"", 185 lbs",Makambo,,Southpaw,Allstars Training Center,,Middleweight
john-maguire,,England,5/19/1983 (36),"5' 9"", 175 lbs",The One,"69""",Southpaw,Tsunami Gym,,Lightweight
phil-de-fries,,England,4/21/1986 (33),"6' 4"", 265 lbs",,"82""",Orthodox,Alliance MMA,,Heavyweight
che-mills,,England,9/29/1982 (37),"6' 1"", 170 lbs",Beautfiul,"76""",Orthodox,Trojan Free Fighters,,Welterweight
vaughan-lee,,England,10/15/1982 (37),"5' 6"", 135 lbs",,"66""",Orthodox,Ultimate Training Centre,,Bantamweight
