,fighter,birthday,height,weight,reach,stance
379,Ricardo-Lamas,1982-05-21,68.0,145.0,71.0,Orthodox
380,Xiaonan-Yan,1989-06-16,65.0,115.0,63.0,Orthodox
381,Darren-Stewart,1990-12-30,72.0,185.0,74.0,Orthodox
382,Bevon-Lewis,1991-05-05,75.0,185.0,79.0,Orthodox
383,Eddie-Wineland,1984-06-26,67.0,135.0,69.0,Orthodox
384,Grigorii-Popov,1984-04-18,67.0,135.0,68.0,Switch
385,Katlyn-Chookagian,1988-12-28,69.0,125.0,68.0,Orthodox
386,Anthony-Smith,1988-07-26,76.0,205.0,76.0,Orthodox
387,Alexander-Gustafsson,1987-01-15,77.0,205.0,79.0,Orthodox
388,Aleksandar-Rakic,1992-02-06,76.0,205.0,78.0,Orthodox
389,Jimi-Manuwa,1980-02-18,73.0,205.0,79.0,Orthodox
390,Makwan-Amirkhani,1988-11-08,70.0,145.0,72.0,Southpaw
391,Chris-Fishgold,1992-06-06,68.0,145.0,68.0,Orthodox
392,Damir-Hadzovic,1986-08-08,69.0,155.0,70.0,Orthodox
393,Daniel-Teymur,1988-02-03,65.0,145.0,69.0,Orthodox
394,Sung-Bin-Jo,1992-07-17,72.0,145.0,72.0,Orthodox
395,Sergey-Khandozhko,1992-05-19,73.0,170.0,74.0,Orthodox
396,Tonya-Evinger,1981-06-04,67.0,135.0,70.0,Orthodox
397,Leonardo-Santos,1980-02-05,72.0,155.0,75.0,Orthodox
398,Stevie-Ray,1990-03-25,70.0,155.0,70.0,Southpaw
399,Frank-Camacho,1989-05-18,70.0,170.0,73.0,Orthodox
400,Nick-Hein,1984-04-24,66.0,155.0,66.0,Southpaw
401,Bea-Malecki,1991-08-23,69.0,135.0,74.0,Orthodox
402,Duda-Santana,1996-01-10,67.0,145.0,73.0,Orthodox
403,Joel-Alvarez,1994-03-02,75.0,155.0,77.0,Orthodox
404,Kevin-Lee,1992-09-04,69.0,170.0,77.0,Orthodox
405,Charles-Oliveira,1989-10-17,70.0,155.0,74.0,Orthodox
406,Nik-Lentz,1984-08-13,68.0,155.0,68.0,Orthodox
407,Desmond-Green,1989-10-11,70.0,155.0,73.0,Southpaw
408,Charles-Jourdain,1995-11-27,69.0,155.0,69.0,Switch
409,Danny-Roberts,1987-07-14,73.0,170.0,74.0,Southpaw
410,Grant-Dawson,1994-02-20,70.0,145.0,72.0,Switch
411,Michael-Trizano,1991-12-31,71.0,155.0,71.0,Orthodox
412,Ed-Herman,1980-10-02,73.0,205.0,77.0,Orthodox
413,Patrick-Cummins,1980-11-16,74.0,205.0,76.0,Orthodox
414,Julio-Arce,1989-10-27,67.0,145.0,70.0,Southpaw
415,Julian-Erosa,1989-07-31,73.0,145.0,74.0,Southpaw
416,Rose-Namajunas,1992-06-29,65.0,115.0,65.0,Orthodox
417,Anderson-Silva,1975-04-14,74.0,185.0,77.0,Southpaw
418,Alexander-Volkanovski,1988-09-29,66.0,145.0,71.0,Orthodox
419,Jose-Aldo,1986-09-09,67.0,145.0,70.0,Orthodox
420,Laureano-Staropoli,1993-02-27,73.0,170.0,71.0,Orthodox
421,Thiago-Alves,1983-10-03,69.0,170.0,70.0,Orthodox
422,Rogerio-Nogueira,1976-06-02,74.0,205.0,75.0,Southpaw
423,Kurt-Holobaugh,1986-09-08,71.0,155.0,70.0,Orthodox
424,Warlley-Alves,1991-01-04,71.0,170.0,72.0,Orthodox
425,Sergio-Moraes,1982-07-23,72.0,170.0,72.0,Orthodox
426,BJ-Penn,1978-12-13,69.0,155.0,70.0,Orthodox
427,Luana-Carolina,1993-06-11,66.0,125.0,69.0,Orthodox
428,Priscila-Cachoeira,1988-08-19,67.0,125.0,65.0,Orthodox
429,Raoni-Barcelos,1987-05-01,67.0,135.0,67.0,Orthodox
430,Talita-Bernardo,1987-03-04,64.0,135.0,68.0,Orthodox
431,Elias-Theodorou,1988-05-31,73.0,185.0,75.0,Orthodox
432,Shane-Burgos,1991-03-19,71.0,145.0,75.0,Orthodox
433,Merab-Dvalishvili,1991-01-10,66.0,135.0,68.0,Orthodox
434,Aiemann-Zahabi,1987-11-19,68.0,135.0,68.0,Orthodox
435,Matt-Sayles,1994-02-21,67.0,145.0,68.0,Orthodox
436,Arjan-Bhullar,1986-05-13,73.0,245.0,75.0,Orthodox
437,Mitch-Gagnon,1984-10-10,65.0,135.0,65.0,Southpaw
438,Jacare-Souza,1979-12-07,73.0,185.0,72.0,Orthodox
439,Dmitrii-Smoliakov,1982-08-05,74.0,253.0,74.0,Switch
440,John-Lineker,1990-06-12,63.0,135.0,67.0,Orthodox
441,Ben-Saunders,1983-04-13,74.0,170.0,77.0,Orthodox
442,Virna-Jandiroba,1988-05-30,63.0,115.0,64.0,Orthodox
443,Jason-Gonzalez,1990-02-28,74.0,155.0,74.0,Southpaw
444,Court-McGee,1984-12-12,71.0,170.0,75.0,Orthodox
445,Alistair-Overeem,1980-05-17,76.0,265.0,80.0,Orthodox
446,Sergei-Pavlovich,1992-05-13,75.0,257.0,84.0,Southpaw
447,Marcelo-Golm,1992-09-15,75.0,249.0,75.0,Orthodox
448,Movsar-Evloev,1994-02-11,67.0,145.0,72.0,Orthodox
449,Sultan-Aliev,1984-09-17,71.0,170.0,74.0,Orthodox
450,Keita-Nakamura,1984-05-22,71.0,170.0,73.0,Southpaw
451,Alexander-Yakovlev,1984-07-18,75.0,155.0,74.0,Southpaw
452,Gadzhimurad-Antigulov,1987-02-09,71.0,205.0,70.0,Orthodox
453,Magomed-Mustafaev,1988-08-02,68.0,155.0,71.0,Orthodox
454,Rafael-Fiziev,1993-03-05,68.0,155.0,71.0,Switch
455,Kelvin-Gastelum,1991-10-24,69.0,185.0,71.0,Southpaw
456,Dwight-Grant,1984-09-14,73.0,170.0,76.0,Switch
457,Alan-Jouban,1981-11-25,72.0,170.0,73.0,Southpaw
458,Jalin-Turner,1995-05-18,75.0,155.0,77.0,Southpaw
459,Wilson-Reis,1985-01-06,64.0,125.0,65.0,Southpaw
460,Zelim-Imadaev,1995-01-25,72.0,170.0,76.0,Orthodox
461,Boston-Salmon,1990-11-20,69.0,135.0,69.0,Southpaw
462,Curtis-Millender,1987-12-01,74.0,170.0,76.0,Orthodox
463,Montel-Jackson,1992-04-24,70.0,135.0,75.0,Southpaw
464,Poliana-Botelho,1988-12-15,68.0,115.0,67.0,Orthodox
465,Randy-Costa,1994-07-06,69.0,135.0,73.0,Switch
466,David-Branch,1981-09-26,73.0,185.0,78.0,Orthodox
467,Michael-Johnson,1986-06-04,70.0,155.0,73.0,Southpaw
468,Jessica-Aguilar,1982-05-08,63.0,115.0,63.0,Orthodox
469,Ross-Pearson,1984-09-26,68.0,155.0,69.0,Orthodox
470,Maryna-Moroz,1991-09-08,67.0,125.0,67.0,Orthodox
471,Alex-Perez,1992-03-21,66.0,135.0,65.0,Orthodox
472,Stephen-Thompson,1983-02-11,72.0,170.0,75.0,Orthodox
473,Justin-Willis,1987-07-19,73.0,264.0,78.0,Southpaw
474,John-Makdessi,1985-05-03,68.0,155.0,68.0,Orthodox
475,Jesus-Pinedo,1996-06-22,70.0,155.0,,
476,Maycee-Barber,1998-05-18,65.0,125.0,65.0,Switch
477,Bryce-Mitchell,1994-10-04,70.0,145.0,,Southpaw
478,Frankie-Saenz,1980-08-12,66.0,135.0,66.0,Orthodox
479,Eric-Shelton,1991-02-02,66.0,125.0,68.0,Orthodox
480,Darren-Till,1992-12-24,72.0,170.0,74.0,Southpaw
481,Dominick-Reyes,1989-12-26,76.0,205.0,77.0,Southpaw
482,Nathaniel-Wood,1993-05-08,66.0,135.0,69.0,Orthodox
483,Jordan-Rinaldi,1987-09-25,70.0,145.0,72.0,Orthodox
484,Joe-Duffy,1988-02-18,70.0,155.0,73.0,Orthodox
485,Saparbeg-Safarov,1986-10-14,73.0,205.0,78.0,Orthodox
486,Nicolae-Negumereanu,1994-09-04,72.0,205.0,78.0,Orthodox
487,Danny-Henry,1988-07-17,72.0,145.0,73.0,Orthodox
488,Mike-Grundy,1987-01-03,67.0,145.0,72.0,Orthodox
489,Nad-Narimani,1987-04-14,68.0,145.0,70.0,Orthodox
490,Derrick-Lewis,1985-02-07,75.0,260.0,79.0,Orthodox
491,Tim-Means,1984-02-20,74.0,170.0,75.0,Orthodox
492,Beneil-Dariush,1989-05-06,70.0,155.0,72.0,Southpaw
493,Tim-Boetsch,1981-01-28,72.0,185.0,74.0,Orthodox
494,Yana-Kunitskaya,1989-11-11,66.0,135.0,68.0,Orthodox
495,Marion-Reneau,1977-06-20,66.0,135.0,68.0,Orthodox
496,Zak-Ottow,1986-12-22,71.0,170.0,72.0,Orthodox
497,Alex-White,1988-10-22,72.0,155.0,71.0,Southpaw
498,Kamaru-Usman,1987-05-11,72.0,170.0,76.0,Switch
499,Tyron-Woodley,1982-04-07,69.0,170.0,74.0,Orthodox
500,Cody-Garbrandt,1991-07-07,68.0,135.0,65.0,Orthodox
501,Zabit-Magomedsharipov,1991-03-01,73.0,145.0,73.0,Orthodox
502,Johnny-Walker,1992-03-30,77.0,205.0,82.0,Orthodox
503,Cody-Stamann,1989-11-09,66.0,135.0,64.0,Orthodox
504,Charles-Byrd,1983-10-11,70.0,185.0,73.0,Orthodox
505,Gina-Mazany,1988-08-19,66.0,135.0,68.0,Southpaw
506,Stefan-Struve,1988-02-18,83.0,265.0,84.0,Orthodox
507,Marcos-Rogerio-de-Lima,1985-06-25,73.0,253.0,75.0,Orthodox
508,Gian-Villante,1985-08-18,75.0,205.0,76.0,Orthodox
509,John-Dodson,1984-09-26,63.0,135.0,66.0,Orthodox
510,Magomed-Ankalaev,1992-06-02,75.0,205.0,75.0,Orthodox
511,Carlo-Pedersoli,1993-06-08,71.0,170.0,75.0,Southpaw
512,Michel-Prazeres,1981-07-25,66.0,170.0,67.0,Orthodox
513,Rustam-Khabilov,1986-11-04,68.0,155.0,73.0,Orthodox
514,Cain-Velasquez,1982-07-28,73.0,240.0,77.0,Orthodox
515,Cynthia-Calvillo,1987-07-13,64.0,115.0,64.0,Orthodox
516,Cortney-Casey,1987-05-05,67.0,115.0,67.0,Orthodox
517,Myles-Jury,1988-10-31,70.0,145.0,73.0,Orthodox
518,Ashlee-Evans-Smith,1987-07-09,68.0,125.0,67.0,Orthodox
519,Luke-Sanders,1985-12-12,66.0,135.0,67.0,Southpaw
520,Renan-Barao,1987-01-31,66.0,135.0,70.0,Orthodox
521,Alexandra-Albu,1990-07-14,62.0,115.0,63.0,Orthodox
522,Rani-Yahya,1984-09-12,66.0,135.0,67.0,Orthodox
523,Shane-Young,1993-07-31,68.0,145.0,72.0,Orthodox
524,Austin-Arnett,1991-10-22,72.0,145.0,72.0,Orthodox
525,Teruto-Ishihara,1991-07-23,67.0,135.0,69.0,Southpaw
526,Wuliji-Buren,1989-03-01,69.0,135.0,69.0,Orthodox
527,Lyman-Good,1985-05-26,72.0,170.0,74.0,Orthodox
528,David-Teymur,1989-05-01,69.0,155.0,73.0,Southpaw
529,Justin-Ledet,1988-09-28,76.0,205.0,80.0,Orthodox
530,Markus-Perez,1988-06-22,73.0,185.0,73.0,Orthodox
531,Taila-Santos,1993-06-22,65.0,125.0,68.0,Orthodox
532,Said-Nurmagomedov,1992-04-05,68.0,135.0,70.0,Orthodox
533,Magomed-Bibulatov,1988-08-22,65.0,125.0,65.0,Orthodox
534,TJ-Dillashaw,1986-02-07,66.0,125.0,67.0,Orthodox
535,Gregor-Gillespie,1986-11-13,67.0,155.0,71.0,Orthodox
536,Yancy-Medeiros,1987-09-07,70.0,155.0,75.0,Orthodox
537,Dustin-Ortiz,1988-12-25,65.0,125.0,65.0,Orthodox
538,Paige-VanZant,1994-03-26,64.0,115.0,65.0,Orthodox
539,Rachael-Ostovich,1991-02-25,63.0,125.0,62.0,Orthodox
540,Dennis-Bermudez,1986-12-13,66.0,155.0,66.0,Orthodox
541,Te-Edwards,1990-09-11,68.0,155.0,72.0,Orthodox
542,Carlos-Condit,1984-04-26,74.0,170.0,75.0,Orthodox
543,Corey-Anderson,1989-09-22,75.0,205.0,79.0,Orthodox
544,Chad-Mendes,1985-05-01,66.0,145.0,66.0,Orthodox
545,Cat-Zingano,1982-07-01,66.0,145.0,68.0,Southpaw
546,Douglas-Silva-de-Andrade,1985-06-22,67.0,135.0,68.0,Orthodox
547,Brian-Kelleher,1986-08-19,66.0,135.0,66.0,Switch
548,Rob-Font,1987-06-25,68.0,135.0,71.0,Orthodox
549,Bobby-Green,1986-09-09,70.0,155.0,71.0,Orthodox
550,Trevor-Smith,1981-01-05,75.0,185.0,75.0,Orthodox
551,Adam-Milstead,1987-07-03,75.0,205.0,76.0,Orthodox
552,Chris-de-la-Rocha,1979-05-15,75.0,250.0,80.0,Orthodox
553,Brian-Ortega,1991-02-21,68.0,145.0,69.0,Switch
554,Kyle-Bochniak,1987-02-05,67.0,145.0,70.0,Orthodox
555,Matthew-Lopez,1987-01-21,67.0,135.0,69.0,Southpaw
556,Chad-Laprise,1986-07-23,70.0,170.0,71.0,Orthodox
557,Mauricio-Rua,1981-11-25,73.0,205.0,76.0,Orthodox
558,Tyson-Pedro,1991-09-17,75.0,205.0,79.0,Orthodox
559,Mark-Hunt,1974-03-23,70.0,265.0,72.0,Orthodox
560,Suman-Mokhtarian,1992-06-13,70.0,145.0,67.0,Orthodox
561,Yushin-Okami,1981-07-21,74.0,170.0,75.0,Southpaw
562,Ben-Nguyen,1988-08-03,65.0,125.0,65.0,Switch
563,Elias-Garcia,1992-09-13,65.0,125.0,67.0,Southpaw
564,Mizuto-Hirota,1981-05-05,67.0,155.0,67.0,Orthodox
565,Alex-Gorgees,1995-08-11,74.0,155.0,74.0,Switch
566,Juan-Espino,1980-10-09,76.0,250.0,82.0,
567,Justin-Frazier,1989-06-15,72.0,265.0,75.0,Southpaw
568,Bryan-Caraway,1984-08-04,68.0,135.0,68.0,Orthodox
569,Rick-Glenn,1989-04-12,72.0,145.0,70.0,Southpaw
570,Michel-Batista,1984-04-20,75.0,260.0,,
571,Leah-Letson,1992-08-21,67.0,145.0,71.0,
572,Julija-Stoliarenko,1993-04-08,67.0,145.0,66.0,
573,Darrell-Horcher,1987-07-28,70.0,155.0,70.0,Southpaw
574,Ricky-Rainey,1983-06-29,73.0,170.0,77.0,Switch
575,David-Zawada,1990-08-01,72.0,170.0,75.0,Orthodox
576,Rashad-Coulter,1981-11-27,71.0,205.0,76.0,Orthodox
577,Hu-Yaozong,1995-04-07,75.0,205.0,72.0,Orthodox
578,Martin-Day,1988-11-10,70.0,135.0,73.0,Orthodox
579,Santiago-Ponzinibbio,1986-09-26,72.0,170.0,73.0,Orthodox
580,Neil-Magny,1987-08-03,75.0,170.0,80.0,Orthodox
581,Guido-Cannetti,1979-12-19,66.0,135.0,68.0,Southpaw
582,Bartosz-Fabinski,1986-04-26,72.0,170.0,75.0,Orthodox
583,Ulka-Sasaki,1989-10-07,70.0,125.0,71.0,Southpaw
584,Devin-Powell,1988-03-01,72.0,155.0,73.0,Orthodox
585,Amanda-Cooper,1991-10-22,63.0,115.0,64.0,Switch
586,John-Gunther,1985-11-24,69.0,155.0,72.0,Orthodox
587,Joseph-Morales,1994-08-22,66.0,125.0,69.0,Switch
588,Joby-Sanchez,1991-06-24,66.0,135.0,68.0,Orthodox
589,Chris-Weidman,1984-06-17,74.0,205.0,78.0,Orthodox
590,Jason-Knight,1992-07-14,70.0,145.0,71.0,Orthodox
591,Adam-Wieczorek,1992-02-05,77.0,250.0,81.0,Orthodox
592,Artem-Lobov,1986-08-11,69.0,145.0,65.0,Southpaw
593,Alex-Garcia,1987-07-14,69.0,170.0,72.0,Orthodox
594,Sean-Strickland,1991-02-27,73.0,170.0,76.0,Orthodox
595,Thibault-Gouti,1987-02-27,70.0,155.0,72.0,Orthodox
596,Jessin-Ayari,1992-05-31,72.0,155.0,73.0,Orthodox
597,Conor-McGregor,1988-07-14,69.0,155.0,74.0,Southpaw
598,Alexander-Volkov,1988-10-24,79.0,250.0,80.0,Orthodox
599,Felice-Herrig,1984-09-18,64.0,115.0,65.0,Orthodox
600,Alan-Patrick,1983-07-19,71.0,155.0,74.0,Southpaw
601,Gray-Maynard,1979-05-09,69.0,155.0,70.0,Orthodox
602,Ryan-LaFlare,1983-10-01,73.0,170.0,74.0,Southpaw
603,Evan-Dunham,1981-12-18,70.0,155.0,70.0,Southpaw
604,Luis-Henrique,1993-08-21,74.0,243.0,74.0,Orthodox
605,Chase-Sherman,1989-11-16,76.0,250.0,78.0,Orthodox
606,Mayra-Bueno-Silva,1991-08-22,66.0,135.0,,Orthodox
607,Thales-Leites,1981-09-06,73.0,185.0,78.0,Orthodox
608,Hector-Lombard,1978-02-02,69.0,185.0,71.0,Southpaw
609,Luigi-Vendramini,1996-01-16,68.0,170.0,,Orthodox
610,Alex-Chambers,1978-10-25,63.0,115.0,63.0,
611,Khalid-Murtazaliev,1993-07-15,72.0,185.0,76.0,Orthodox
612,CB-Dollaway,1983-08-10,74.0,185.0,76.0,Orthodox
613,Kajan-Johnson,1984-04-21,71.0,155.0,75.0,Orthodox
614,Marcin-Prachnio,1988-07-14,75.0,205.0,74.0,Orthodox
615,Jordan-Johnson,1988-11-18,74.0,205.0,79.0,Orthodox
616,Adam-Yandiev,1988-08-07,69.0,185.0,74.0,Orthodox
617,Ramazan-Emeev,1987-05-23,70.0,170.0,76.0,Southpaw
618,Stefan-Sekulic,1992-02-12,72.0,170.0,75.0,Southpaw
619,Terrion-Ware,1986-03-31,68.0,135.0,71.0,Orthodox
620,Abdul-Razak-Alhassan,1985-08-11,70.0,170.0,73.0,Orthodox
621,Craig-White,1990-07-01,74.0,170.0,76.0,Orthodox
622,Jarred-Brooks,1993-05-02,63.0,125.0,62.0,Switch
623,Roberto-Sanchez,1986-03-05,66.0,125.0,66.0,Orthodox
624,Jake-Ellenberger,1985-03-28,69.0,170.0,71.0,Orthodox
625,John-Moraga,1984-03-20,66.0,125.0,66.0,Orthodox
626,Tim-Williams,1986-07-03,74.0,185.0,76.0,Orthodox
627,James-Krause,1986-06-04,74.0,170.0,73.0,Orthodox
628,Iuri-Alcantara,1980-08-04,69.0,135.0,71.0,Southpaw
629,George-Sullivan,1981-03-13,72.0,170.0,73.0,Orthodox
630,Kalindra-Faria,1986-07-23,67.0,125.0,,Switch
631,Jon-Tuck,1984-08-28,71.0,155.0,73.0,Orthodox
632,Demetrious-Johnson,1986-08-13,63.0,125.0,66.0,Orthodox
633,Brett-Johns,1992-02-21,67.0,135.0,71.0,Orthodox
634,Jose-Torres,1992-08-02,64.0,125.0,65.0,Orthodox
635,Danielle-Taylor,1989-10-25,60.0,115.0,60.0,Orthodox
636,Eddie-Alvarez,1984-01-11,69.0,155.0,69.0,Orthodox
637,Jordan-Mein,1989-10-10,72.0,170.0,73.0,Orthodox
638,Matheus-Nicolau,1993-01-06,66.0,125.0,66.0,
639,Alvaro-Herrera,1990-05-14,72.0,155.0,74.0,
640,Abu-Azaitar,1986-03-10,69.0,185.0,76.0,Orthodox
641,Vitor-Miranda,1979-03-10,73.0,185.0,77.0,Orthodox
642,Emil-Meek,1988-08-20,71.0,170.0,74.0,Switch
643,Davey-Grant,1985-12-18,68.0,135.0,69.0,
644,Jeremy-Kimball,1991-01-03,72.0,205.0,72.0,Switch
645,Damian-Stasiak,1990-02-20,65.0,135.0,70.0,Orthodox
646,Sage-Northcutt,1996-03-01,72.0,170.0,71.0,Orthodox
647,Justin-Scoggins,1992-05-02,67.0,125.0,66.0,Southpaw
648,Gokhan-Saki,1983-10-19,72.0,205.0,73.0,Orthodox
649,Jamie-Moyle,1989-03-17,61.0,115.0,65.0,Orthodox
650,Brad-Tavares,1987-12-21,73.0,185.0,74.0,Orthodox
651,Joe-Giannetti,1995-07-05,72.0,155.0,74.0,Southpaw
652,Jay-Cucciniello,1986-07-23,67.0,155.0,,Orthodox
653,Barb-Honchak,1979-08-30,64.0,125.0,65.0,
654,Julian-Marquez,1990-05-08,74.0,185.0,75.0,Orthodox
655,Richie-Smullen,1991-08-17,69.0,155.0,68.0,Orthodox
656,Allan-Zuniga,1992-04-04,67.0,155.0,70.0,Orthodox
657,Tyler-Diamond,1991-03-18,67.0,145.0,69.0,Orthodox
658,Matt-Bessette,1984-12-28,70.0,145.0,70.0,Orthodox
659,Jessica-Rose-Clark,1987-11-28,65.0,125.0,64.0,Orthodox
660,Daichi-Abe,1991-11-27,71.0,170.0,71.0,Orthodox
661,Felipe-Arantes,1988-02-09,68.0,135.0,73.0,Orthodox
662,Rolando-Dy,1990-08-11,68.0,145.0,69.0,Orthodox
663,Shinsho-Anzai,1985-12-01,67.0,170.0,70.0,Orthodox
664,Viviane-Pereira,1993-08-28,61.0,115.0,63.0,Orthodox
665,Naoki-Inoue,1997-06-14,69.0,125.0,71.0,Orthodox
666,Jenel-Lausa,1988-08-01,65.0,125.0,68.0,Orthodox
667,Melinda-Fabian,1987-06-25,66.0,125.0,66.0,
668,Mike-Jackson,1985-03-22,74.0,170.0,,Orthodox
669,CM-Punk,1978-10-26,73.0,170.0,73.0,Orthodox
670,Rashad-Evans,1979-09-25,72.0,205.0,75.0,Orthodox
671,Mike-Santiago,1989-07-28,70.0,145.0,69.0,Orthodox
672,Daniel-Spitz,1990-07-31,79.0,245.0,82.0,Orthodox
673,Gleison-Tibau,1983-10-07,70.0,155.0,71.0,Southpaw
674,Johnny-Eduardo,1978-08-03,67.0,135.0,71.0,Orthodox
675,Mads-Burnell,1994-03-06,68.0,145.0,69.0,Orthodox
676,Tom-Breese,1991-09-26,75.0,185.0,73.0,Southpaw
677,Daniel-Kelly,1977-10-31,72.0,185.0,70.0,Southpaw
678,Bradley-Scott,1989-06-24,73.0,170.0,76.0,
679,Diego-Rivas,1991-11-11,68.0,145.0,69.0,Orthodox
680,Henry-Briones,1980-10-22,68.0,135.0,69.0,
681,Felipe-Silva,1984-05-08,72.0,155.0,77.0,Orthodox
682,Lyoto-Machida,1978-05-30,73.0,185.0,74.0,Southpaw
683,Vitor-Belfort,1977-04-01,72.0,185.0,74.0,Southpaw
684,Alberto-Mina,1982-05-02,72.0,170.0,77.0,Orthodox
685,James-Bochnovic,1989-02-13,76.0,205.0,81.0,Orthodox
686,Luan-Chagas,1993-06-17,72.0,170.0,75.0,Orthodox
687,Patrick-Williams,1981-09-07,68.0,135.0,73.0,Orthodox
688,Chris-Gruetzemacher,1986-06-16,68.0,155.0,68.0,Orthodox
689,Joe-Lauzon,1984-05-22,70.0,155.0,71.0,Orthodox
690,Bec-Rawlings,1989-02-11,66.0,125.0,64.0,Orthodox
691,Fabricio-Werdum,1977-07-30,76.0,231.0,77.0,Orthodox
692,Tom-Duquesnoy,1993-06-21,67.0,135.0,68.0,Orthodox
693,Peter-Sobotta,1987-01-11,72.0,170.0,75.0,Southpaw
694,Oliver-Enkamp,1991-08-10,72.0,170.0,77.0,Switch
695,Dmitry-Sosnovskiy,1989-07-06,75.0,240.0,77.0,Orthodox
696,Mark-Godbeer,1983-11-22,76.0,240.0,77.0,Orthodox
697,Sean-O'Malley,1994-10-24,71.0,135.0,72.0,Switch
698,Ketlen-Vieira,1991-08-26,68.0,135.0,68.0,Orthodox
699,Mike-Pyle,1975-09-18,72.0,170.0,74.0,Orthodox
700,Sara-McMann,1980-09-24,66.0,135.0,66.0,Orthodox
701,Russell-Doane,1986-08-13,67.0,135.0,70.0,Orthodox
702,Albert-Morales,1991-05-25,69.0,135.0,72.0,Orthodox
703,Brian-Camozzi,1991-06-24,74.0,170.0,78.0,Orthodox
704,Joshua-Burkman,1980-04-10,70.0,170.0,72.0,Orthodox
705,Cyril-Asker,1985-12-24,72.0,247.0,74.0,Orthodox
706,Damien-Brown,1984-12-25,70.0,155.0,68.0,Orthodox
707,Rob-Wilkinson,1992-02-22,75.0,185.0,80.0,Orthodox
708,Jeremy-Kennedy,1992-09-16,71.0,145.0,71.0,Orthodox
709,Tim-Johnson,1985-03-13,75.0,265.0,77.0,Southpaw
710,Maia-Stevenson,1982-03-19,64.0,115.0,62.0,Orthodox
711,Joe-Soto,1987-03-22,66.0,135.0,65.0,Orthodox
712,Godofredo-Pepey,1987-07-02,67.0,145.0,73.0,Orthodox
713,Juliana-Lima,1982-03-15,65.0,115.0,65.0,Orthodox
714,Justine-Kish,1988-04-13,65.0,125.0,64.0,Orthodox
715,Francimar-Barroso,1980-02-28,73.0,205.0,75.0,Orthodox
716,Thomas-Almeida,1991-07-31,67.0,135.0,70.0,Southpaw
717,Sabah-Homasi,1988-10-19,72.0,170.0,72.0,Orthodox
718,Dooho-Choi,1991-04-10,70.0,145.0,70.0,Orthodox
719,Galore-Bofando,1982-05-22,71.0,170.0,72.0,Switch
720,Abel-Trujillo,1983-09-18,68.0,155.0,70.0,Orthodox
721,Oluwale-Bamgbose,1987-08-04,71.0,185.0,78.0,Switch
722,Erick-Silva,1984-06-21,72.0,170.0,74.0,Orthodox
723,Carls-John-De-Tomas,1996-08-28,65.0,125.0,71.0,Southpaw
724,Antonio-Braga-Neto,1987-10-29,75.0,185.0,77.0,Orthodox
725,Angela-Magana,1983-08-02,61.0,115.0,65.0,
726,DeAnna-Bennett,1984-11-18,64.0,125.0,68.0,
727,Christina-Marks,1985-11-08,67.0,125.0,69.0,Orthodox
728,Ryan-Janes,1981-08-22,75.0,185.0,76.0,Orthodox
729,Karine-Gevorgyan,1989-03-09,64.0,125.0,63.0,
730,Ariel-Beck,1990-09-16,66.0,125.0,66.0,
731,Michael-Bisping,1979-02-28,73.0,185.0,75.0,Orthodox
732,Wang-Guan,1986-03-14,69.0,145.0,71.0,Orthodox
733,Bobby-Nash,1990-03-26,72.0,170.0,74.0,Orthodox
734,Kailin-Curran,1991-04-11,64.0,115.0,65.0,Orthodox
735,Bharat-Kandare,1987-06-20,67.0,135.0,72.0,Orthodox
736,Bojan-Velickovic,1988-12-18,72.0,170.0,76.0,Southpaw
737,Ryan-Benoit,1989-08-25,65.0,125.0,68.0,Orthodox
738,Ashkan-Mokhtarian,1985-09-15,66.0,125.0,67.0,Southpaw
739,Will-Brooks,1986-10-08,70.0,155.0,72.0,Orthodox
740,Anthony-Hamilton,1980-04-14,77.0,260.0,76.0,Orthodox
741,Matt-Brown,1981-01-10,72.0,170.0,75.0,Orthodox
742,Nate-Marquardt,1979-04-20,72.0,185.0,74.0,Orthodox
743,Michel-Quinones,1984-12-22,70.0,155.0,73.0,Orthodox
744,Jake-Collier,1988-10-25,75.0,205.0,78.0,Orthodox
745,Marcel-Fortuna,1985-10-22,73.0,205.0,74.0,Orthodox
746,Georges-St-Pierre,1981-05-19,71.0,185.0,76.0,Orthodox
747,Johny-Hendricks,1983-09-12,69.0,185.0,69.0,Southpaw
748,Hacran-Dias,1984-06-16,68.0,155.0,69.0,Orthodox
749,Christian-Colombo,1980-07-01,77.0,265.0,80.0,Orthodox
750,Jonathan-Wilson,1987-07-17,74.0,205.0,75.0,Southpaw
751,Marcin-Held,1992-01-18,69.0,155.0,71.0,Orthodox
752,Pearl-Gonzalez,1986-08-12,64.0,115.0,68.0,Orthodox
753,Marco-Beltran,1986-05-18,68.0,125.0,69.0,Orthodox
754,Takanori-Gomi,1978-09-22,67.0,155.0,70.0,Southpaw
755,Henrique-da-Silva,1989-09-01,75.0,205.0,76.0,Orthodox
756,Chanmi-Jeon,1997-08-28,65.0,115.0,67.0,Orthodox
757,Hyun-Gyu-Lim,1985-01-16,75.0,170.0,77.0,Orthodox
758,Alex-Reyes,1986-10-02,71.0,170.0,73.0,Orthodox
759,Zu-Anyanwu,1981-08-05,73.0,251.0,77.0,Orthodox
760,Jason-Saggo,1985-11-23,71.0,155.0,71.0,Orthodox
761,Mitch-Clarke,1985-11-24,70.0,155.0,73.0,Orthodox
